Count,"Unless noted, the total number of grants shown, excluding administrative supplements."
Covered Small Business Concern       ,"For purposes of the SBIR/STTR programs, a small business concern that:


	 



		Was not majority-owned by multiple venture capital operating companies (VCOCs), hedge funds, or private equity firms on the date on which it submitted an application in response to a solicitation under the SBIR program; and
		
			 
		


		Is majority-owned by multiple venture capital operating companies, hedge funds, or private equity firms on the date of the SBIR award."
CPI,See Consumer Price Index
CPI,See Consumer Price Index.
CR,Continuing Resolution
CRADA,See Cooperative Research and Development Agreement.
Credential Field,"Credential is a field on Grants.gov's R&R Senior/Key Person Profile form which is part of every competing grant application submitted through Grants.gov to NIH. Including the eRA Commons ID for the PD/PI, any multi-PD/PIs and Project Leads (for multi-project application components) is an NIH requirement and is critical to our ability to post errors, warnings and the assembled application image in eRA Commons. The credential field is not marked required on the federal-wide form since not all agencies that use the form need this field. NIH uses the Health and Human Services logo within the application guide to flag agency-specific instructions and clarifications for fields on federal-wide forms. Pay special attention to the HHS logo or you may miss key NIH requirements."
Critique,An overall evaluation of a grant application prepared by a reviewer before an initial peer review meeting and presented to a Scientific Review Group at the meeting.
CSR,See Center for Scientific Review.
Cumulative Inclusion Enrollment Report,"The Cumulative Inclusion Enrollment Report is used to report the sex/gender, race, and ethnicity of the actual participants that have been enrolled in the study or if an applicant is proposing a new study using an existing dataset/resource where the participants have already been enrolled.
For more details about completing these forms, please see the Supplemental Instruction Guide"
Current Dollars,"Actual dollars awarded, without adjustment for inflation."
DA,National Institute on Drug Abuse
Data and Safety Monitoring Board (DSMB) ,"A formal, independent board of experts including investigators and biostatisticians that advise study investigators regarding the safety progression of a study. In general, NIH requires the establishment of DSMBs for multi-site clinical trials involving interventions that entail potential risk to the participants and for all Phase III clinical trials. As necessary, a DSMB may be appropriate for Phase I and Phase II or other clinical trials if the studies are blinded (masked), employ high-risk interventions, or involve vulnerable populations."
Data and Safety Monitoring Plan,"Prior to award, this plan must be approved by the applicant s IRB and the NIH awarding IC prior to the accrual of human subjects. The reporting of Adverse Events must be reported to the IRB, the DSMB (if applicable) or other monitoring entity, the NIH funding Institute or Center, and other required entities. This policy requirement is in addition to any monitoring requirements imposed by 45 CFR part 46."
Data Universal Numbering System (DUNS),A nine-digit number established and assigned by Dun and Bradstreet to uniquely identify a business entity.
DC,National Institute on Deafness and Other Communication Disorders
DE,National Institute of Dental and Craniofacial Research
Debarment and Suspension,"The actions taken by a debarring official in accordance with OMB guidance at 2 CFR 180, ""Non-procurement Debarment and Suspension,"" as implemented by HHS in 2 CFR 376, to exclude a person or organization from participating in grants and other non-procurement awards government-wide. If debarred or suspended, the person or organization may not receive financial assistance (under a grant, cooperative agreement, or subaward, or contract under a grant) for a specified period of time. Debarments and suspensions carried out pursuant to 2 CFR 376 are distinct from post-award suspension action by an awarding agency. (See NIH Grants Policy Statement: 4 Public Policy Requirements, Objectives and Other Appropriation Mandates 4.1.6 Debarment and Suspension)."
Debt Collection,"The process of collecting funds owed by recipients to the Federal government, which, under grants, generally are owed as a result of formal cost disallowances."
Debt Instrument,A document used to record a legal obligation of one party to pay a financial obligation to another in accordance with predetermined terms and conditions.
Deductive Alternative,An alternative for the use of program income earned during the period of grant support under which allowable costs of the project or program to be paid by the Federal government are offset by the amount of the program income. (See also definitions for additive alternative and cost sharing or matching alternative and NIH Grants Policy Statement: 8 Administrative Requirements 8.3 Management Systems and Procedures 8.3.2 Program Income.)
Deferred,"Refers to the delay in the review of an application by a scientific review group, usually to the next review cycle, due to insufficient information."
Delayed Onset Study,Research is anticipated within the period of award but definite plans are not yet known and cannot be described in the application.
Delayed Start,"Research plans can be described at time of application, but research will not immediately begin (will occur later in the funding period)"
Department of Health and Human Services (HHS),"Federal Executive Department of which the U.S. Public Health Service (PHS) is a component and the NIH is an agency of the PHS. Go to HHS.
Previously DHHS."
Departmental Grants Appeals Board,"The independent office established in the Office of the Secretary with delegated authority from the Secretary to review and decide certain disputes between recipients of HHS funds and HHS awarding agencies under 45 CFR Part 16 and to perform other review, adjudication and mediation services as assigned."
Deviation,A departure on a single-case or class basis from a regulatory or policy requirement. A single-case deviation represents a request for waiver or exception sought for one grant only that arises on a case-by-case basis. A class deviation involves more than one grant for which the same type of deviation action is being requested.
Direct Costs,"Costs that can be identified specifically with a particular sponsored project, an instructional activity, or any other institutional activity, or that can be directly assigned to such activities relatively easily with a high degree of accuracy. (See NIH Grants Policy Statement 7.3 Direct Costs and Facilities and Administrative Costs)"
Disaggregated Application,An application with a portion (or subproject) funded as a separate grant.
Disallowed Costs,"Those charges to a Federal award that the Federal awarding agency or pass-through entity determines to be unallowable, in accordance with the applicable Federal statutes, regulations, or the terms and conditions of the Federal award."
DK,National Institute of Diabetes and Digestive and Kidney Diseases
Domestic Organization,A public (including a State or other Governmental Agency) or private non-profit or for-profit organization located in the United States or its territories which is subject to U.S. laws and assumes legal and financial accountability for awarded funds and for the performance of the grant-supported activities.
Dual Assignments,"Applications simultaneously assigned to two Institutes, Centers, or Divisions. The primary Institute has complete responsibility for administering and funding the application; the secondary assumes this responsibility only if the primary is unable or unwilling to support it."
Dual Review System,"Peer review process used by NIH. The first level of review provides a judgment of scientific merit. The second level of review (usually conducted by an ICD's advisory Council) assesses the quality of the first review, sets program priorities, and makes funding recommendations."
DUNS Number,See Data Universal Numbering System.
E-Business Point of Contact (POC),An E-Business POC for an organization is designated during organization registration with the System for Award Management (SAM) and is the person responsible for the administration and management of grant activities in his/her organization. E-Business POCs give representatives of their organization the privilege to submit grant applications through Grants.gov by designating Authorized Organization Representative (AOR) authority.
EA,See Expanded Authorities
Early Established Investigator (EEI),"A Program Director / Principal Investigator (PD/PI) who is within 10 years of receiving their first substantial, independent competing NIH R01 equivalent research award as an Early Stage Investigator (ESI)."
Early Stage Investigator (ESI),"A Program Director / Principal Investigator (PD/PI) who has completed their terminal research degree or end of post-graduate clinical training, whichever date is later, within the past 10 years and who has not previously competed successfully as PD/PI for a substantial NIH independent research award. A list of NIH grants that a PD/PI can hold and still be considered an ESI can be found at https://grants.nih.gov/policy/early-investigators/list-smaller-grants.htm."
Earmark,A requirement by Congress that a Federal Agency spend a specified amount of money for a stated purpose (e.g. to establish a centers program or conduct a clinical trial).
EB,National Institute of Biomedical Imaging and Bioengineering
Edison,NIH's electronic invention reporting system. Go to iEdison.
EEI,Early Established Investigator
EIN,See Entity Identification Number.
Electronic Research Administration (eRA),"The NIH's infrastructure for conducting interactive electronic transactions for the receipt, review, monitoring, and administration of NIH grant awards to biomedical and behavioral investigators worldwide. Registration is required. Go to eRA."
Electronic Streamlined Non-Competing Award Process (eSNAP),"Electronic submission of a Non-Competing continuation progress report, through the eRA Commons, for an award subject to the SNAP (Streamlined Non-Competing Award Process) provisions. Use of eSNAP is mandatory for SNAP awards (see NOT OD-10-093)."
Employer Identification Number,Identification of a business to the U.S. Internal Revenue Service; also known as a Federal tax identification number (TIN). The TIN forms the basis for the Entity Identification Number.
Enrollment Data,Provides race and ethnicity data for the cumulative number of human subjects enrolled in an NIH-funded clinical research study since the protocol began. This data is provided in competing continuation applications and annual progress reports.
Entity Identification Number (EIN),A three-part coding scheme of 12 characters used in the Program Management System (PMS) to identify organizations and individuals. The first character identifies the recipient as an organization or an individual. The next nine characters are the Employer Identification Number. The last two characters are a suffix to provide distinction between organizational entities that are assigned a single EIN and those that have more than one.
Equipment,"Tangible personal property (including information technology systems) having a useful life of more than one year and a per-unit acquisition cost which equals or exceeds the lesser of the capitalization level established by the non-Federal entity for financial statement purposes, or $5,000. (See also capital assets, computing devices, general purpose equipment, information technology systems, special purpose equipment, and supplies)."
eRA,See Electronic Research Administration
eRA Commons,"The Electronic Research Administration (eRA) Commons is a virtual meeting place where NIH extramural recipient organizations, recipients, and the public can receive and transmit information about the administration of biomedical and behavioral research. The eRA Commons is divided into both unrestricted and restricted portions that provide for public and confidential information, respectively."
Error,"During the process of submitting a grant application electronically, applicants may receive a notification of errors from the eRA Commons. Errors are critical problems with the application such as significant inaccuracies, inconsistencies or omissions.

Errors stop the application from processing and must be corrected by the submission deadline in order for the application to move forward in the submission process."
ES,National Institute of Environmental Health Sciences
ESI,See Early Stage Investigator
ESI,Early Stage Investigator
eSNAP,See Electronic Streamlined Non-Competing award Process
eSNAP,Electronic Streamlined Non-competing Award Process
Ethnic Categories,"Hispanic or Latino: A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term, Spanish origin, can be used in addition to Hispanic or Latino. 
Not Hispanic or Latino"
Ethnic/Racial Subpopulations   ,"In addition to OMB ethnic and racial categories, each ethnic/racial group contains subpopulations that are delimited by geographic origins, national origins, and/or cultural differences. It is recognized that there are different ways of defining and reporting racial and ethnic subpopulation data. The subpopulation to which an individual is assigned depends on self-reporting of specific origins and/or cultural heritage. Attention to subpopulations also applies to individuals who self-identify with more than one race. These ethnic/racial combinations may have biomedical, behavioral, and/or socio-cultural implications related to the scientific question under study."
Excluded Parties List System,"A public database maintained by the General Services Administration which is the official government-wide system of record for debarments, suspensions, and other exclusionary actions."
Existing dataset,"An existing dataset may be constructed of different types of data including but not limited to survey data, demographic information, health information, genomic information, etc. Also included would be data to be derived from existing samples of cells, tissues, or other types of materials that may have been previously collected for a different purpose or research question but will now be used to answer a new research question. In general, these will be studies meeting the NIH definition for clinical research with a prospective plan to analyze existing data and/or derive data from an existing resource and where no ongoing or future contact with participants is anticipated."
Expanded Authorities (EA),"Operating authorities provided in Federal Administrative Regulations (e.g., A-110) to recipients that waive the requirement for prior approval for specified actions. NIH extended expanded authorities to all NIH awards except for the provision to automatically carry over unobligated balances thus these authorities have become the NIH Standard Terms of Award. Therefore, the term Expanded Authorities is no longer used at NIH (see NIH Grants Policy Statement: 8 Administrative Requirements 8.1 Changes in Project and Budget 8.1.1 NIH Standard Terms of Award)."
Expenditure Report,"Means: (1) For non-construction grants, the SF-425 Federal Financial Report (FFR) (or other OMB-approved equivalent report); (2) for construction grants, the SF-271 ""Outlay Report and Request for Reimbursement"" (or other OMB-approved equivalent report)"
Expenditures,"(1) The charges may be reported on a cash or accrual basis, as long as the methodology is disclosed and is consistently applied.


	(2) For reports prepared on a cash basis, expenditures are the sum of:


	(i) Cash disbursements for direct charges for property and services;


	(ii) The amount of indirect expense charged;


	(iii) The value of third-party in-kind contributions applied; and


	(iv) The amount of cash advance payments and payments made to subrecipients.


	(3) For reports prepared on an accrual basis, expenditures are the sum of:


	(i) Cash disbursements for direct charges for property and services;


	(ii) The amount of indirect expense incurred;


	(iii) The value of third-party in-kind contributions applied; and


	(iv) The net increase or decrease in the amounts owed by the non-Federal entity for:


	(A) Goods and other property received;


	(B) Services performed by employees, contractors, sub-recipients, and other payees; and


	(C) Programs for which no current services or performance are required such as annuities, insurance claims, or other benefit payments."
Expiration Date,"In context of awarded grant:
The date signifying the end of the current project period, after which the grantee is not authorized to obligate grant funds.
In context of funding opportunity announcement key dates:
The day after the last submission due date for the announcement. As of the Expiration Date, the announcement is no longer active and applications will not be accepted unless either the late policy or system issue policy apply."
Exploratory/Development Research,Research studies in the early and conceptual stages of development. Exploratory studies may differ substantially from current thinking or practice and may not yet be supported by substantial preliminary data.
Extramural Awards,Funds provided by the NIH to researchers and organizations outside the NIH.
Extramural Research,"Research supported by NIH through a grant, contract, or cooperative agreement."
EY,National Eye Institute
FACA,See Federal Advisory Committee Act
Facilities and Administrative (F&A) Costs (or indirect costs),"Necessary costs incurred by a recipient for a common or joint purpose benefitting more than one cost objective, and not readily assignable to the cost objectives specifically benefitted, without effort disproportionate to the results achieved. To facilitate equitable distribution of indirect expenses to the cost objectives served, it may be necessary to establish a number of pools of F&A (indirect) costs. F&A (indirect) cost pools must be distributed to benefitted cost objectives on bases that will produce an equitable result in consideration of relative benefits derived. (See NIH Grants Policy Statement 7.3 Direct Costs and Facilities and Administrative Costs)"
Faculty- or Student-owned Entity,"A small business concern (SBC) that is at least 51% owned and controlled by one or more individuals that, at time of application, is either a faculty member or a student of an institution of higher education as defined in 20 U.S.C. 1001."
FAR,See Federal Acquisition Regulations
Fast Track,The simultaneous submission and concurrent review of a combined Phase I/Phase II SBIR or STTR grant application. This option is intended to reduce/eliminate the funding gap between SBIR/STTR Phase I and Phase II projects.
FDP,See Federal Demonstration Partnership
Federal Acquisition Regulations (FAR),Laws regulating government contracting. Go to FAR.
Federal Advisory Committee Act (FACA),A law enacted in 1972 to ensure that advice by the various advisory committees formed over the years is objective and accessible to the public.
Federal Agency,"An ""agency' as defined at 5 U.S.C. 551(1) and further clarified by 5 U.S.C. 552(f)."
Federal Audit Clearinghouse (FAC),"The clearinghouse designated by OMB as the repository of record where non-Federal entities are required to transmit the reporting packages required by Subpart F-Audit Requirements of 2 CFR 200. The mailing address of the FAC is Federal Audit Clearinghouse, Bureau of the Census, 1201 E. 10th Street, Jeffersonville, IN 47132 and the web address is: http://harvester.census.gov/sac/. Any future updates to the location of the FAC may be found at the OMB Web site."
Federal Award,"Depending on the context, in either paragraph (1) or (2) of this section:
	(1)(i) The Federal financial assistance that a non-Federal entity receives directly from a Federal awarding agency or indirectly from a pass-through entity, as described in 45 CFR 75.101; or



	(ii) The cost-reimbursement contract under the Federal Acquisition Regulations that a non-Federal entity receives directly from a Federal awarding agency or indirectly from a pass-through entity, as described in 45 CFR 75.101.



	(2) The instrument setting forth the terms and conditions. The instrument is the grant agreement, cooperative agreement, other agreement for assistance covered in paragraph (2) of Federal financial assistance, or the cost-reimbursement contract awarded under the Federal Acquisition Regulations.



	(3) Federal award does not include other contracts that a Federal agency uses to buy goods or services from a contractor or a contract to operate Federal government owned, contractor operated facilities (GOCOs).

(4) See also definitions of Federal financial assistance, grant agreement, and cooperative agreement."
Federal Award Date,The date when the Federal award is signed by the authorized official of the Federal awarding agency.
Federal Award Identification Number,"A unique number assigned to a financial assistance award to assist recipients in correctly reporting subawards. The public can use the FAIN and the CFDA number together to find one accurate result when searching on line in such databases as USASpending.gov and FSRS. The FAIN can be found on the notice of award. NIH implements the FAIN by deriving it from the core elements of the grant number. For example, the FAIN for 1R0lGM654321-01 would be R01GM654321."
Federal Awarding Agency,The Federal agency that provides a Federal award directly to another entity. See also Awarding IC.
Federal Demonstration Partnership (FDP),"A cooperative initiative among some Federal agencies, including NIH, selected organizations receiving Federal funding for research, and certain professional organizations. Its efforts include demonstration projects intended to simplify and standardize Federal requirements in order to increase research productivity and reduce administrative costs."
Federal Financial Assistance,"(1) For grants and cooperative agreements, Federal financial assistance means assistance that non-Federal entities receive or administer in the form of:


	(i) Grants;


	(ii) Cooperative agreements;


	(iii) Non-cash contributions or donations of property (including donated surplus property);


	(iv) Direct appropriations;


	(v) Food commodities; and


	(vi) Other financial assistance (except assistance listed in paragraph (b) of this section).


	(2) For Subpart F of 45 CFR 75, Federal financial assistance also includes assistance that non-Federal entities receive or administer in the form of:


	(i) Loans;


	(ii) Loan Guarantees;


	(iii) Interest subsidies; and


	(iv) Insurance.

(3) Federal financial assistance does not include amounts received as reimbursement for services rendered to individuals as described in 45 CFR 75.502(h) and (i)."
Federal Financial Report (FFR),The Federal Financial Report (SF425) is a single form consolidating the collection of financial information previously collected on the Cash Transaction Report (SF 272 and the Financial Status Report (SF269). NIH grantees now required to submit all required expenditure reports using the FFR. Further all FFR expenditure reports must be submitted to NIH electronically through the eRA Commons.
Federal Funding Accountability and Transparency Act (Transparency Act),See Transparency Act.
Federal Institution,"A Cabinet-level department or independent agency of the executive branch of the Federal government or any component organization of such a department or agency. For the purposes of this document, this term is used in the context of a Federal institution as a recipient. See also Awarding IC."
Federal Interest,"For purposes 45 CFR 75.343 or when used in connection with the acquisition or improvement of real property, equipment, or supplies under a Federal award, the dollar amount that is the product of the: (1) Federal share of total project costs; and (2) Current fair market value of the property, improvements, or both, to the extent the costs of acquiring or improving the property were included as project costs."
Federal Laboratory         ,"As defined in 15 U.S.C. 3703, means any laboratory, any federally funded research and development center, or any center established under 15 U.S.C. 3705 & 3707 that is owned, leased, or otherwise used by a Federal agency and funded by the Federal Government, whether operated by the Government or by a contractor."
Federal Program ,"(1) All Federal awards which are assigned a single number in the CFDA.


	(2) When no CFDA number is assigned, all Federal awards to non- Federal entities from the same agency made for the same purpose should be combined and considered one program.


	(3) Notwithstanding paragraphs (1) and (2) of this definition, a cluster of programs.


	The types of clusters of programs are:


	(i) Research and development (R&D);


	(ii) Student financial aid (SFA); and


	(iii) ""Other clusters,' as described in the definition of Cluster of Programs."
Federal Register,"An official, daily publication communicating proposed and final regulations and legal notices issued by federal agencies, including announcements of the availability of funds for financial assistance. Go to Federal Register."
Federal Share,The portion of the total project costs that are paid by Federal funds.
Federal Technology Transfer Act (FTTA) ,Authorizes Government Agencies to enter into CRADAs with private companies.
Federal-Wide Assurance (FWA),"The Federal-Wide Assurance is the only type of new assurance of compliance accepted and approved by OHRP for institutions engaged in non-exempt human subjects research conducted or supported by HHS. Under a FWA, an institution commits to HHS that it will comply with the requirements set forth in 45 CFR 46, as well as the terms of assurance."
Fee,"An amount, in addition to actual, allowable costs, paid to an organization providing goods or services consistent with normal commercial practice. This payment also is referred to as profit. (See NIH Grants Policy Statement: 18 Grants to For-Profit Organizations 18.5 Small Business Innovation Research and Small Business Technology Transfer Programs 18.5.4 Allowable Costs and Fee 18.5.4.2 Profit or Fee)."
Fellowship,An NIH training program award where the NIH specifies the individual receiving the award. Fellowships comprise the F activity codes.
FFR,See Federal Financial Report
FIC,NIH Fogarty International Center
Final Peer-reviewed Manuscript,"The author's final manuscript of a peer-reviewed article accepted for journal publication, including all modifications from the peer review process."
Final Proposal Revision (FPR),"After completion of negotiations, offerors are asked to submit a final proposal revision which documents all cost and technical agreements reached during negotiations."
Final Published Article,"The journal's authoritative copy of the article, including all modifications from the publishing peer review process, copyediting and stylistic edits, and formatting changes."
Financial Assistance,Transfer by NIH of money or property to an eligible entity to support or stimulate a public purpose authorized by statute.
Financial Conflict of Interest,"A financial conflict of interest exists when the recipient's designated official(s) reasonably determines that an investigator's significant financial interest could directly and significantly affect the design, conduct, or reporting of the PHS-funded research. See 42 CFR 50, Subpart F, Responsibility of Applicants for Promoting Objectivity in Research for which PHS funding is sought and NIH Grants Policy Statement: 4.1 Public Policy Requirements and Objectives 4.1.10 Financial Conflict of Interest."
Financial Management Plan,"A Financial Management Plan, also known as Funding Policy, is a policy to establish consistency in funding which specifies levels for items such as the payline, programmatic reductions, and caps for re-competing grants."
Financial Status Report (FSR),"A financial report due 90 days after the end of each budget period for those awards not under SNAP, and at the end of the competitive segment for those awards under SNAP, showing the status of awarded funds for that period. The report is mandatory for continued funding of the grant. The form numbers for FSRs are SF 269 and SF 269A. Note the FSR has been replaced with the FFR (SF425)."
Financial Status Report (FSR) Role,"In the NIH Commons, allows members of your staff to process Financial Status Reports (FSRs) for submission to the NIH electronically. An account with only the FSR Role assigned can perform FSR tasks. An account can include multiple roles, including that of FSR."
Fingerprinting,"Any of 235 research areas reported by the central NIH Office of Budget and through the public NIH Report website. Categories may refer to research, conditions, diseases or crosscutting areas and break down the NIH funding for reporting purposes. Also known as reporting category."
Fiscal Year (FY),"The annual period established for Government accounting purposes. A Fiscal Year begins on October 1 and ends September 30 of the following year. Example: FY2011-Started October 1, 2010 and ends September 30, 2011."
FOA,See Funding Opportunity Announcement
FOIA,See Freedom of Information Act
For-Profit Organization,"An organization, institution, corporation, or other legal entity that is organized or operated for the profit or financial benefit of its shareholders or other owners. A for-profit organization is considered to be a small business if it is independently owned and operated, if it is not dominant in the field in which research is proposed, and if it employs no more than 500 persons. (Also see definition for small business concern.)"
Foreign Component,"The performance of any significant scientific element or segment of a project outside of the United States, either by the recipient or by a researcher employed by a foreign organization, whether or not grant funds are expended. Activities that would meet this definition include, but are not limited to, (1) the involvement of human subjects or animals, (2) extensive foreign travel by recipient project staff for the purpose of data collection, surveying, sampling, and similar activities, or (3) any activity of the recipient that may have an impact on U.S. foreign policy through involvement in the affairs or environment of a foreign country. Examples of other grant-related activities that may be significant are:



		collaborations with investigators at a foreign site anticipated to result in co-authorship;
	



		use of facilities or instrumentation at a foreign site; or
	



		receipt of financial support or resources from a foreign entity.
	

Foreign travel for consultation is not considered a foreign component. (See NIH Grants Policy Statement: 16 Grants to Foreign Organizations, International Organizations, and Domestic Grants with Foreign Components)."
Foreign Institution,"An organization located in a country other than the United States and its territories that is subject to the laws of that country, regardless of the citizenship of the proposed PD/PI."
Foreign Organization,"An entity that is:


	(1) A public or private organization located in a country other than the United States and its territories that is subject to the laws of the country in which it is located, irrespective of the citizenship of project staff or place of performance;


	(2) A private nongovernmental organization located in a country other than the United States that solicits and receives cash contributions from the general public;


	(3) A charitable organization located in a country other than the United States that is nonprofit and tax exempt under the laws of its country of domicile and operation, and is not a university, college, accredited degree-granting institution of education, private foundation, hospital, organization engaged exclusively in research or scientific activities, church, synagogue, mosque or other similar entities organized primarily for religious purposes; or

(4) An organization located in a country other than the United States not recognized as a Foreign Public Entity."
Foreign Public Entity,"(1) A foreign government or foreign governmental entity; (2) A public international organization, which is an organization entitled to enjoy privileges, exemptions, and immunities as an international organization under the International Organizations Immunities Act (22 U.S.C. 288-288f); (3) An entity owned (in whole or in part) or controlled by a foreign government; or (4) Any other entity consisting wholly or partially of one or more foreign governments or foreign governmental entities."
Form,A 'form' is a named collection of data fields approved by the Office of Management and Budget (OMB).
FPR,See Final Proposal Revision
Freedom of Information Act (FOIA),"Requires dissemination, upon request, of Government documents while ensuring protection of proprietary and other privacy act information. Go to FOIA."
FSR,See Financial Status Report
FTTA,See Federal Technology Transfer Act
Full-Time Appointment,"The number of days per week and/or months per year representing full-time effort at the applicant/recipient organization, as specified in organizational policy. The organization's policy must be applied consistently regardless of the source of support."
Funding Opportunity Announcement (FOA),"A publicly available document by which a Federal Agency makes known its intentions to award discretionary grants or cooperative agreements, usually as a result of competition for funds. Funding opportunity announcements may be known as program announcements, requests for applications, notices of funding availability, solicitations, or other names depending on the Agency and type of program. Funding opportunity announcements can be found at Grants.gov/FIND and in the NIH Guide for Grants and Contracts."
Funding Policy,See Financial Management Plan
Funding Rate,Percentage of applicants that receive funding in a fiscal year.
FWA,See Federal-Wide Assurance
FY,See Fiscal Year
GAO,See Government Accountability Office.
Gender,Human subject term indicating a classification of research subjects into women and men.
General Purpose Equipment,"Equipment which is not limited to research, medical, scientific or other technical activities. Examples include office equipment and furnishings, modular offices, telephone networks, information technology equipment and systems, air conditioning equipment, reproduction and printing equipment, and motor vehicles. See also ""Equipment"" and ""Special Purpose Equipment."""
Generally Acceptable Accounting Principles (GAAP),The meaning specified in accounting standards issued by the Government Accounting Standards Board (GASB) and the Financial Accounting Standards Board (FASB).
Generally Accepted Government Auditing Standards (GAGAS),"Also known as the Yellow Book, generally accepted government auditing standards issued by the Comptroller General of the United States, which are applicable to financial audits."
GM,National Institute of General Medical Sciences
GMO,See Grants Management Officer
GMS,See Grants Management Specialist
Government Accountability Office (GAO),An oversight organization reporting to Congress. Go to GAO.
Government Printing Office (GPO),Produces and distributes Federal Government information products. Go to GPO.
GPO,See Government Printing Office
Graduate School,"In the context of NIH s R15 program, a graduate school offers advanced degrees, beyond the undergraduate level, in an academic discipline. Advance degrees include M.A., M.S., and Ph.D."
Grant,"Financial assistance mechanism providing money, property, or both to an eligible entity to carry out an approved project or activity. A grant is used whenever the NIH Institute or Center anticipates no substantial programmatic involvement with the recipient during performance of the financially assisted activities."
Grant Appeals,A DHHS policy providing for an appeal by the grantee institution of post award administrative decisions made by awarding offices. The two levels of appeal are an informal NIH procedure and a formal DHHS procedure. The grantee must first exhaust the informal procedures before appealing to the DHHS Appeals Board. (See Grant Appeals Procedures in the NIHGPS.)
Grant Closeout,See Closeout.
Grant Compliance Review,An evaluation by grants management staff to assess an institution's business and financial management systems to ensure that regulations and policies are being followed.
Grant Number,"type of application (1)
	

activity code (R01)
	

organization to which it is assigned (AI)
	

		serial number assigned by the Center for Scientific Review (183723),
	

		suffix showing the support year for the grant (-01)
	

		other information identifying a revision (S1), resubmission (A1), or a fellowship's institutional allowance. For contracts, the suffix is replaced by a modification number.
	


Sample Grant Number 1 R01 AI 183723 -01 A1 S1"
Grant or Grant Agreement,"A legal instrument of financial assistance between a Federal awarding agency or pass-through entity and a non-Federal entity that, consistent with 31 U.S.C. 6302, 6304:
	(1) Is used to enter into a relationship the principal purpose of which is to transfer anything of value from the Federal awarding agency or pass-through entity to the non-Federal entity to carry out a public purpose authorized by a law of the United States (see 31 U.S.C. 6101(3)); and not to acquire property or services for the Federal awarding agency or pass-through entity's direct benefit or use;
	(2) Is distinguished from a cooperative agreement in that it does not provide for substantial involvement between the Federal awarding agency or pass-through entity and the non-Federal entity in carrying out the activity contemplated by the Federal award.
	(3) Does not include an agreement that provides only:



	(i) Direct United States Government cash assistance to an individual;
	(ii) A subsidy;
	(iii) A loan;
	(iv) A loan guarantee; or
	(v) Insurance.

See NIH Grants Policy Statement: 1.2 Definition of Terms Cooperative Agreement."
Grant Start Date,Official date a grant award begins; same as the first day of the first budget period.
Grant Type,See Application Types.
Grant-Supported Project or Activity,"Those activities specified or described in a grant application or in a subsequent submission that are approved by an NIH IC for funding, regardless of whether Federal funding constitutes all or only a portion of the financial support necessary to carry them out."
Grantee,See Recipient.
Grants Management Officer (GMO),"An NIH official responsible for the business management aspects of grants and cooperative agreements, including review, negotiation, award, and administration, and for the interpretation of grants administration policies and provisions. GMOs are delegated the authority from the CGMO to obligate NIH to the expenditure of funds and permit changes to approved projects on behalf of NIH. Each NIH IC that awards grants has one or more GMOs with responsibility for particular programs or awards. See also Chief Grants Management Officer definition."
Grants Management Specialist (GMS),"A NIH staff member who oversees the business and other non-programmatic aspects of one or more grants and/or cooperative agreements. These activities include, but are not limited to, evaluating grant applications for administrative content and compliance with statutes, regulations, and guidelines; negotiating grants; providing consultation and technical assistance to grantees; and administering grants after award."
Grants Process,Go to Grants Process Overview.
Grants.gov,Grants.gov (http://www.grants.gov/) has been designated by the Office of Management and Budget as the single access point for all grant programs offered by 26 Federal grant-making agencies. It provides a single interface for agencies to announce their grant opportunities and for all applicants to find and apply for those opportunities.
Green Card,See Permanent Resident Card.
HBCU,See Historically Black College or University.
HD,Eunice Kennedy Shriver National Institute of Child Health and Human Development
Health Insurance Portability and Accountability Act (HIPAA) Privacy Rule,"The Privacy Rule is a Federal regulation under the Health Insurance Portability and Accountability Act (HIPAA) of 1996 that governs the protection of individually identifiable health information. It is administered and enforced by the Office for Civil Rights, HHS. Research organizations and researchers may or may not be covered by the HIPAA Privacy Rule. Decisions about applicability and implementation of the Privacy Rule reside with the researcher and the grantee organization. (See HIPAA Privacy Rule.)"
Health Professional School or College,"In the context of NIH s R15 program, health professional schools and colleges are accredited institutions that provide education and training leading to a health professional degree, including but not limited to: BSN, MSN, DNP, MD, DDS, DO, PharmD, DVM, OD, DPT, DC, ND, DPM, MOT, OTD, DPT, BME, MSEE, MS-SLP, CScD, SLPD, AuD, MSPO, MSAT, and MPH. Eligible health professional schools/colleges may include schools or colleges of nursing, medicine, dentistry, osteopathy, pharmacy, veterinary medicine, public health, optometry, allied health, chiropractic, naturopathy, podiatry, rehabilitation medicine, physical therapy, orthotics & prosthetics, kinesiology, biomedical engineering, occupational therapy and psychology. Accreditation must be provided by a body approved for such purpose by the Secretary of Education."
Health-Related Biomedical or Behavioral Outcome,"As related to the definition of a clinical trial, the pre-specified goal(s) or condition(s) that reflect the effect of one or more interventions on human subjects' biomedical or behavioral status or quality of life. Examples include: positive or negative changes to physiological or biological parameters (e.g., improvement of lung capacity, gene expression); positive or negative changes to psychological or neurodevelopmental parameters (e.g., mood management intervention for smokers; reading comprehension and /or information retention); positive or negative changes to disease processes; positive or negative changes to health-related behaviors; and, positive or negative changes to quality of life."
